Data,Receitas,Despesas,Categoria,Região,Cliente_Chave,Data da Transação,Categoria da Transação,Descrição,Valor,Método de Pagamento,Contas a Pagar e a Receber,Data de Vencimento,Valor Contas,Status,Saldo Inicial,Centro de Custo/Departamento,Receitas Recorrentes,Previsão de Receita,Previsão de Despesas,Valor do Empréstimo,Parcelas e Vencimentos,Valor de Impostos,Datas de Vencimento Impostos,Estoque,Custos de Produção
2023-01-12,94486,80262,Gestão de Investimentos,Norte,Não,2023-05-15,Empréstimos,Revisão de contratos,41229,Cartão de Crédito,A Pagar,2023-12-18,147056,Pago,450230,Análise de Riscos,114700,265936,185492,610209,18 parcelas até 2023-07-31,68555,2023-09-04,4,2274
2023-01-13,120681,77932,Serviços Bancários,Sudeste,Sim,2023-09-26,Investimentos,Emissão de boletos,110972,Transferência,A Pagar,2023-03-24,97702,Atrasado,859131,Atendimento ao Cliente,98725,238799,109603,1212416,21 parcelas até 2023-06-09,14550,2023-11-01,6,3164
2023-01-14,21635,69622,Gestão de Investimentos,Sul,Sim,2023-08-09,Taxas Bancárias,Abertura de conta,166687,Boleto,A Receber,2023-11-15,45504,Pago,766740,Análise de Riscos,96266,231910,52500,1233185,11 parcelas até 2023-01-31,91337,2023-03-11,3,814
2023-01-15,116482,73290,Planejamento Financeiro,Sudeste,Não,2023-05-20,Empréstimos,Revisão de contratos,72351,Transferência,A Receber,2023-11-24,74905,Pago,962502,Compliance,101629,182966,93314,1969329,49 parcelas até 2023-10-02,79850,2023-02-26,3,2865
2023-01-16,43513,81814,Gestão de Investimentos,Norte,Sim,2023-04-01,Empréstimos,Revisão de contratos,152740,PIX,A Pagar,2023-07-24,104572,Atrasado,571633,Atendimento ao Cliente,92034,338164,101653,1759398,18 parcelas até 2023-02-05,32579,2023-06-01,5,1589
2023-01-17,79183,91273,Gestão de Investimentos,Sudeste,Não,2023-10-29,Empréstimos,Emissão de boletos,136266,PIX,A Receber,2023-08-11,51048,Pendente,292631,Consultoria,171034,463360,275626,1797134,6 parcelas até 2023-05-21,93861,2023-07-05,5,1042
2023-01-18,31018,89728,Gestão de Investimentos,Norte,Sim,2023-10-26,Investimentos,Análise de portfólio,115898,Boleto,A Pagar,2023-12-16,101281,Pendente,218318,Compliance,129801,291676,144578,351837,53 parcelas até 2023-07-14,48991,2023-04-25,1,491
2023-01-19,113438,18232,Planejamento Financeiro,Sudeste,Sim,2023-10-26,Taxas Bancárias,Análise de portfólio,110173,Boleto,A Receber,2023-05-15,55334,Atrasado,537454,Atendimento ao Cliente,102658,145142,101292,784906,41 parcelas até 2023-01-12,45537,2023-12-06,8,3125
2023-01-20,77455,95302,Serviços Bancários,Sul,Não,2023-01-26,Consultoria,Abertura de conta,90882,PIX,A Receber,2023-05-20,137930,Pendente,520689,Atendimento ao Cliente,101597,277788,189430,1142830,17 parcelas até 2023-02-03,81282,2023-07-29,4,2210
2023-01-21,124678,98947,Gestão de Investimentos,Nordeste,Não,2023-08-21,Investimentos,Análise de portfólio,61981,PIX,A Pagar,2023-12-26,66988,Pendente,622246,Compliance,193776,367180,166560,653641,41 parcelas até 2023-08-09,60617,2023-05-07,1,893
2023-01-22,113470,94214,Consultoria Financeira,Nordeste,Não,2023-04-23,Investimentos,Análise de portfólio,183776,Boleto,A Pagar,2023-08-31,106760,Pendente,695244,Consultoria,72399,299539,185769,1597562,14 parcelas até 2023-10-20,48150,2023-06-13,1,1213
2023-01-23,94949,87972,Consultoria Financeira,Norte,Não,2023-11-09,Taxas Bancárias,Abertura de conta,78535,PIX,A Receber,2023-02-20,25413,Pendente,598337,Análise de Riscos,98951,413537,289887,1761813,34 parcelas até 2023-03-18,77052,2023-12-06,2,3253
2023-01-24,94401,37449,Gestão de Investimentos,Nordeste,Sim,2023-07-04,Consultoria,Abertura de conta,57572,Cartão de Crédito,A Receber,2023-11-25,139235,Pago,727457,Atendimento ao Cliente,169545,443798,297452,415872,17 parcelas até 2023-11-12,45814,2023-03-09,2,2992
2023-01-25,149635,67577,Planejamento Financeiro,Sul,Sim,2023-09-06,Empréstimos,Revisão de contratos,157340,PIX,A Receber,2023-12-21,128458,Pago,525278,Consultoria,119076,389364,282616,162008,8 parcelas até 2023-05-19,32877,2023-09-17,5,627
2023-01-26,80721,46714,Gestão de Investimentos,Sul,Sim,2023-04-13,Empréstimos,Emissão de boletos,177505,Transferência,A Receber,2023-01-21,33815,Pendente,515860,Consultoria,75725,122534,199419,1520597,5 parcelas até 2023-09-22,88913,2023-01-30,4,4851
2023-01-27,101199,64355,Planejamento Financeiro,Nordeste,Não,2023-03-02,Consultoria,Revisão de contratos,22777,Transferência,A Pagar,2023-10-13,49203,Atrasado,594099,Compliance,128971,311145,129221,217408,39 parcelas até 2023-03-09,64818,2023-05-12,9,4287
2023-01-28,55254,57924,Consultoria Financeira,Norte,Sim,2023-12-26,Investimentos,Revisão de contratos,127619,Cartão de Crédito,A Pagar,2023-06-10,86183,Atrasado,896891,Análise de Riscos,196076,211829,212846,860343,11 parcelas até 2023-01-24,92936,2023-12-09,6,2866
2023-01-29,145570,67829,Planejamento Financeiro,Nordeste,Não,2023-08-26,Consultoria,Revisão de contratos,176650,Cartão de Crédito,A Pagar,2023-03-04,70243,Pendente,700565,Análise de Riscos,144190,100986,156425,884633,58 parcelas até 2023-02-23,52428,2023-08-01,1,2745
2023-01-30,55010,22969,Serviços Bancários,Nordeste,Sim,2023-11-23,Consultoria,Análise de portfólio,155462,Cartão de Crédito,A Pagar,2023-09-16,58476,Pago,928513,Análise de Riscos,119288,284187,147209,920717,5 parcelas até 2023-10-28,44509,2023-05-29,5,4316
2023-01-31,118399,21812,Consultoria Financeira,Sul,Sim,2023-07-07,Taxas Bancárias,Revisão de contratos,187463,Transferência,A Pagar,2023-10-02,92473,Pago,500371,Análise de Riscos,80239,217935,117355,1199828,23 parcelas até 2023-04-23,59442,2023-11-11,3,926
2023-02-01,57527,91110,Planejamento Financeiro,Norte,Não,2023-10-20,Investimentos,Abertura de conta,92795,Transferência,A Pagar,2023-05-19,10734,Pago,112698,Análise de Riscos,59031,165392,291050,896969,37 parcelas até 2023-03-07,72843,2023-09-19,1,3144
2023-02-02,99782,21838,Consultoria Financeira,Norte,Sim,2023-05-19,Consultoria,Revisão de contratos,166564,Transferência,A Pagar,2023-05-30,74112,Atrasado,851323,Análise de Riscos,193078,397791,280528,1359868,48 parcelas até 2023-05-13,95149,2023-10-22,9,3248
2023-02-03,83934,76547,Gestão de Investimentos,Sul,Sim,2023-09-02,Empréstimos,Emissão de boletos,142529,Cartão de Crédito,A Pagar,2023-05-11,49998,Pendente,154964,Análise de Riscos,86365,162373,147724,929015,20 parcelas até 2023-06-13,92331,2023-07-13,5,46
2023-02-04,77967,57270,Gestão de Investimentos,Nordeste,Não,2023-07-08,Taxas Bancárias,Emissão de boletos,67911,Transferência,A Pagar,2023-04-23,95252,Pendente,506550,Análise de Riscos,63572,100052,255484,637486,45 parcelas até 2023-12-03,99121,2023-06-19,0,1783
2023-02-05,142605,77893,Gestão de Investimentos,Sul,Não,2023-09-25,Taxas Bancárias,Abertura de conta,157931,Transferência,A Pagar,2023-03-30,108383,Pago,471106,Atendimento ao Cliente,195616,355366,175423,442576,59 parcelas até 2023-10-09,15130,2023-07-23,8,2557
2023-02-06,47542,69093,Gestão de Investimentos,Sul,Não,2023-05-11,Investimentos,Revisão de contratos,77194,PIX,A Receber,2023-03-17,138196,Pendente,912841,Atendimento ao Cliente,82405,102791,117713,1901409,32 parcelas até 2023-03-01,21410,2023-01-11,4,388
2023-02-07,20490,28463,Planejamento Financeiro,Sul,Não,2023-10-30,Investimentos,Revisão de contratos,83483,Transferência,A Receber,2023-02-05,43509,Pago,782837,Compliance,189802,118274,124733,572761,14 parcelas até 2023-12-18,19992,2023-10-20,7,4347
2023-02-08,112420,85625,Gestão de Investimentos,Norte,Não,2023-05-22,Empréstimos,Emissão de boletos,74599,Cartão de Crédito,A Receber,2023-04-19,11991,Pendente,320348,Consultoria,63221,398080,234169,207113,17 parcelas até 2023-12-04,84822,2023-01-16,8,4205
2023-02-09,82553,25918,Planejamento Financeiro,Sudeste,Não,2023-07-16,Investimentos,Análise de portfólio,196758,Boleto,A Receber,2023-02-10,114804,Pendente,697539,Compliance,111389,116789,222199,1017367,14 parcelas até 2023-01-20,24188,2023-08-06,9,1869
2023-02-10,114460,14872,Consultoria Financeira,Sul,Sim,2023-08-06,Investimentos,Análise de portfólio,139421,Cartão de Crédito,A Pagar,2023-11-22,99730,Pendente,519905,Atendimento ao Cliente,131758,292592,205470,879673,57 parcelas até 2023-06-15,60164,2023-11-10,5,2083
2023-02-11,52732,60709,Consultoria Financeira,Sul,Sim,2023-10-18,Consultoria,Emissão de boletos,144862,Cartão de Crédito,A Receber,2023-12-09,61587,Pendente,973962,Análise de Riscos,140071,113463,68060,409343,3 parcelas até 2023-06-28,21674,2023-09-22,1,4849
2023-02-12,136624,57668,Gestão de Investimentos,Sudeste,Não,2023-01-08,Taxas Bancárias,Análise de portfólio,175554,Transferência,A Pagar,2023-08-14,34571,Atrasado,124823,Atendimento ao Cliente,106703,382131,168419,1905308,34 parcelas até 2023-09-11,92648,2023-01-05,6,4102
2023-02-13,111927,73437,Serviços Bancários,Nordeste,Sim,2023-07-12,Investimentos,Abertura de conta,163207,Cartão de Crédito,A Receber,2023-05-27,72180,Pendente,948900,Compliance,117086,135909,54698,1750714,9 parcelas até 2023-09-26,91227,2023-04-29,2,668
2023-02-14,41166,54516,Consultoria Financeira,Sul,Não,2023-07-03,Taxas Bancárias,Revisão de contratos,153441,Transferência,A Receber,2023-09-13,96005,Pendente,175696,Atendimento ao Cliente,61185,301055,203486,1657699,10 parcelas até 2023-05-21,70243,2023-08-11,6,2236
2023-02-15,149745,40545,Planejamento Financeiro,Nordeste,Sim,2023-03-19,Empréstimos,Emissão de boletos,124721,Cartão de Crédito,A Receber,2023-11-17,31256,Atrasado,961784,Consultoria,77633,344420,262833,619884,28 parcelas até 2023-10-31,55205,2023-07-19,5,3605
2023-02-16,22743,24588,Consultoria Financeira,Norte,Sim,2023-09-25,Empréstimos,Abertura de conta,132842,Boleto,A Pagar,2023-04-20,130124,Atrasado,139636,Compliance,114722,302259,99150,490403,9 parcelas até 2023-08-29,91357,2023-04-18,1,3698
2023-02-17,34318,89041,Gestão de Investimentos,Norte,Não,2023-01-06,Taxas Bancárias,Análise de portfólio,126562,PIX,A Receber,2023-01-24,142437,Atrasado,243805,Consultoria,149909,303384,254937,737544,59 parcelas até 2023-11-16,24824,2023-05-27,3,3966
2023-02-18,119991,10420,Gestão de Investimentos,Sudeste,Não,2023-04-10,Empréstimos,Análise de portfólio,48457,Cartão de Crédito,A Receber,2023-12-08,84307,Pendente,452705,Consultoria,177441,123567,218513,1665167,31 parcelas até 2023-02-01,17938,2023-06-04,9,1114
2023-02-19,40704,15753,Serviços Bancários,Nordeste,Não,2023-03-09,Taxas Bancárias,Emissão de boletos,96755,Transferência,A Receber,2023-11-15,21878,Pendente,243660,Consultoria,100710,332419,108092,1582924,53 parcelas até 2023-03-19,75669,2023-11-01,6,3161
2023-02-20,31251,32581,Gestão de Investimentos,Sudeste,Não,2023-05-19,Investimentos,Revisão de contratos,192651,PIX,A Receber,2023-06-17,25260,Pago,143274,Análise de Riscos,95241,178816,58736,516811,41 parcelas até 2023-07-30,30249,2023-10-30,7,11
2023-02-21,126754,10166,Serviços Bancários,Sudeste,Não,2023-05-17,Investimentos,Revisão de contratos,113401,PIX,A Pagar,2023-08-03,65959,Pago,474823,Análise de Riscos,172044,407526,60463,231197,43 parcelas até 2023-03-16,38903,2023-01-31,4,4175
2023-02-22,66023,21613,Planejamento Financeiro,Norte,Não,2023-10-16,Investimentos,Abertura de conta,166177,Cartão de Crédito,A Pagar,2023-09-19,51066,Atrasado,745042,Consultoria,66283,199571,183155,882672,15 parcelas até 2023-06-19,64616,2023-09-22,0,3377
2023-02-23,126102,16298,Planejamento Financeiro,Norte,Não,2023-01-26,Consultoria,Revisão de contratos,163360,PIX,A Receber,2023-08-29,95880,Pendente,708772,Atendimento ao Cliente,149270,104796,195186,1052482,17 parcelas até 2023-04-17,85828,2023-09-21,8,1292
2023-02-24,139554,32971,Serviços Bancários,Nordeste,Sim,2023-11-19,Consultoria,Emissão de boletos,123120,Transferência,A Receber,2023-05-07,141868,Pago,139447,Atendimento ao Cliente,104517,249331,285914,447051,15 parcelas até 2023-10-09,29329,2023-12-14,1,1010
2023-02-25,58891,13030,Gestão de Investimentos,Sul,Não,2023-10-03,Empréstimos,Abertura de conta,80867,Boleto,A Receber,2023-04-26,30795,Atrasado,134305,Consultoria,98742,363490,217018,1486505,5 parcelas até 2023-05-06,65112,2023-03-11,2,687
2023-02-26,99338,71199,Planejamento Financeiro,Sudeste,Não,2023-05-13,Empréstimos,Emissão de boletos,44084,PIX,A Receber,2023-12-04,11774,Pago,835475,Análise de Riscos,170487,154056,168441,1651694,46 parcelas até 2023-01-31,91881,2023-12-19,9,2151
2023-02-27,88053,14294,Planejamento Financeiro,Norte,Não,2023-04-28,Investimentos,Análise de portfólio,97036,PIX,A Receber,2023-05-14,58885,Pago,237397,Atendimento ao Cliente,169150,192603,232857,1076531,9 parcelas até 2023-02-01,11100,2023-03-19,9,3124
2023-02-28,143013,10613,Gestão de Investimentos,Sul,Não,2023-04-22,Consultoria,Revisão de contratos,80220,Boleto,A Receber,2023-09-01,71159,Atrasado,183787,Atendimento ao Cliente,104259,413767,277679,1754449,16 parcelas até 2023-02-13,44823,2023-07-15,0,4611
2023-03-01,133138,10967,Planejamento Financeiro,Sul,Sim,2023-01-23,Consultoria,Emissão de boletos,155071,Cartão de Crédito,A Receber,2023-01-01,142981,Atrasado,857872,Atendimento ao Cliente,65080,398597,286139,1142182,53 parcelas até 2023-06-18,17634,2023-08-13,3,2584
2023-03-02,37586,29473,Consultoria Financeira,Sudeste,Não,2023-07-30,Empréstimos,Abertura de conta,150710,Transferência,A Receber,2023-09-07,104817,Pendente,459772,Análise de Riscos,101370,258694,175823,1269239,18 parcelas até 2023-11-29,96886,2023-03-20,0,1714
2023-03-03,117649,73950,Planejamento Financeiro,Nordeste,Não,2023-02-09,Empréstimos,Revisão de contratos,170362,Transferência,A Receber,2023-02-01,22047,Pago,654145,Compliance,140366,423607,166028,269706,27 parcelas até 2023-11-18,58255,2023-12-28,1,4654
2023-03-04,149494,63366,Planejamento Financeiro,Norte,Sim,2023-10-09,Empréstimos,Abertura de conta,33899,Transferência,A Receber,2023-08-18,74147,Pago,651758,Compliance,182237,112800,88996,1860336,42 parcelas até 2023-08-15,59359,2023-07-06,3,2115
2023-03-05,101663,36212,Serviços Bancários,Nordeste,Sim,2023-08-14,Consultoria,Emissão de boletos,33774,Transferência,A Receber,2023-04-09,97495,Pendente,554587,Compliance,58762,202374,286086,1629950,4 parcelas até 2023-03-13,25976,2023-07-17,3,4133
2023-03-06,144195,28509,Consultoria Financeira,Sul,Sim,2023-03-19,Empréstimos,Emissão de boletos,74837,Cartão de Crédito,A Receber,2023-04-26,131034,Pago,660816,Atendimento ao Cliente,154633,347795,172761,195629,8 parcelas até 2023-12-02,61910,2023-05-10,8,780
2023-03-07,40433,34521,Serviços Bancários,Sudeste,Sim,2023-08-21,Investimentos,Abertura de conta,175010,PIX,A Pagar,2023-02-28,72245,Atrasado,611924,Consultoria,81906,463680,82863,671355,57 parcelas até 2023-05-28,96512,2023-07-05,3,2463
2023-03-08,85786,84778,Gestão de Investimentos,Norte,Sim,2023-03-13,Consultoria,Abertura de conta,176286,PIX,A Receber,2023-12-05,49990,Pendente,890880,Consultoria,179367,176457,205645,1275387,26 parcelas até 2023-03-03,82063,2023-05-09,2,478
2023-03-09,97599,22239,Gestão de Investimentos,Sul,Não,2023-06-07,Empréstimos,Emissão de boletos,10244,PIX,A Pagar,2023-07-17,28587,Pendente,540202,Atendimento ao Cliente,60369,147217,192485,1304413,22 parcelas até 2023-03-07,54654,2023-03-12,7,1097
2023-03-10,100987,76247,Consultoria Financeira,Nordeste,Sim,2023-06-19,Empréstimos,Análise de portfólio,26293,Cartão de Crédito,A Pagar,2023-07-19,32418,Pendente,713201,Análise de Riscos,58912,323655,217257,328547,21 parcelas até 2023-09-01,81350,2023-04-09,6,692
2023-03-11,20292,20790,Consultoria Financeira,Nordeste,Sim,2023-12-22,Empréstimos,Análise de portfólio,108551,Cartão de Crédito,A Pagar,2023-08-12,78724,Pendente,806083,Compliance,73912,285840,78552,1075111,7 parcelas até 2023-12-15,95972,2023-08-23,3,3083
2023-03-12,144610,37948,Gestão de Investimentos,Sul,Sim,2023-10-21,Investimentos,Abertura de conta,13231,Cartão de Crédito,A Pagar,2023-05-16,80411,Atrasado,127533,Atendimento ao Cliente,155213,369924,296806,795919,8 parcelas até 2023-07-20,71637,2023-12-31,2,818
2023-03-13,130432,22411,Planejamento Financeiro,Norte,Sim,2023-01-20,Taxas Bancárias,Revisão de contratos,81439,Transferência,A Pagar,2023-06-25,103914,Pago,284349,Compliance,136656,300574,84519,804254,18 parcelas até 2023-02-23,31471,2023-03-02,6,361
2023-03-14,97226,71752,Planejamento Financeiro,Sul,Não,2023-07-12,Consultoria,Emissão de boletos,135579,Boleto,A Pagar,2023-02-02,84264,Pago,793153,Atendimento ao Cliente,127012,311514,216159,744591,10 parcelas até 2023-10-15,67803,2023-02-12,4,1728
2023-03-15,56904,89027,Planejamento Financeiro,Nordeste,Não,2023-07-05,Empréstimos,Abertura de conta,148031,Transferência,A Receber,2023-08-12,96264,Pago,894816,Análise de Riscos,167296,463155,101336,254007,35 parcelas até 2023-01-14,21808,2023-03-19,9,4700
2023-03-16,47107,14622,Planejamento Financeiro,Sudeste,Não,2023-06-14,Taxas Bancárias,Emissão de boletos,154492,Transferência,A Receber,2023-11-10,139368,Pendente,811179,Atendimento ao Cliente,67171,154880,134929,682744,2 parcelas até 2023-05-17,59818,2023-07-26,3,4092
2023-03-17,54651,45817,Planejamento Financeiro,Norte,Não,2023-06-19,Consultoria,Emissão de boletos,183938,Cartão de Crédito,A Pagar,2023-02-23,97044,Atrasado,432343,Compliance,165302,409911,122922,403868,56 parcelas até 2023-10-16,55025,2023-09-12,6,548
2023-03-18,50367,29264,Gestão de Investimentos,Norte,Não,2023-06-01,Empréstimos,Abertura de conta,45465,PIX,A Pagar,2023-05-03,101703,Pago,622999,Atendimento ao Cliente,180503,430333,291810,418814,31 parcelas até 2023-12-16,14170,2023-03-03,4,2227
2023-03-19,105251,60032,Gestão de Investimentos,Norte,Não,2023-05-03,Empréstimos,Revisão de contratos,128569,Transferência,A Pagar,2023-06-28,119737,Pendente,310126,Análise de Riscos,161605,145039,119489,890248,28 parcelas até 2023-02-26,67614,2023-01-25,5,3473
2023-03-20,130066,85694,Serviços Bancários,Sul,Sim,2023-06-20,Taxas Bancárias,Abertura de conta,164126,Boleto,A Receber,2023-07-05,145109,Pendente,673001,Atendimento ao Cliente,90016,306097,292072,1773792,26 parcelas até 2023-05-22,63118,2023-11-03,5,2543
2023-03-21,61088,59951,Planejamento Financeiro,Norte,Sim,2023-07-01,Taxas Bancárias,Análise de portfólio,16104,Cartão de Crédito,A Pagar,2023-12-13,95630,Atrasado,309735,Atendimento ao Cliente,81962,411990,267924,580190,35 parcelas até 2023-05-29,42207,2023-06-16,8,784
2023-03-22,41027,77773,Consultoria Financeira,Nordeste,Sim,2023-02-27,Consultoria,Emissão de boletos,129050,PIX,A Pagar,2023-11-21,127956,Pago,595455,Consultoria,197432,130196,164612,1025325,48 parcelas até 2023-01-16,76817,2023-10-13,7,2211
2023-03-23,52458,57833,Planejamento Financeiro,Nordeste,Sim,2023-05-22,Empréstimos,Emissão de boletos,18811,Cartão de Crédito,A Pagar,2023-12-04,120652,Pendente,544478,Análise de Riscos,120121,315214,259472,373188,38 parcelas até 2023-12-23,55115,2023-04-18,6,3901
2023-03-24,20686,81703,Consultoria Financeira,Sul,Sim,2023-04-11,Empréstimos,Emissão de boletos,139389,Boleto,A Pagar,2023-02-24,143677,Atrasado,474089,Consultoria,120594,278790,145359,1476510,30 parcelas até 2023-06-03,31035,2023-07-21,5,3454
2023-03-25,80427,55861,Serviços Bancários,Nordeste,Sim,2023-12-06,Taxas Bancárias,Análise de portfólio,196916,PIX,A Receber,2023-12-30,129388,Pendente,629117,Compliance,157138,476108,59548,1118305,20 parcelas até 2023-11-27,40524,2023-04-12,1,2278
2023-03-26,107621,94925,Planejamento Financeiro,Sudeste,Não,2023-10-29,Consultoria,Análise de portfólio,151920,Cartão de Crédito,A Pagar,2023-12-10,111464,Pago,887811,Compliance,163276,370200,109111,266281,35 parcelas até 2023-12-13,41337,2023-07-04,4,4019
2023-03-27,122373,43160,Gestão de Investimentos,Nordeste,Sim,2023-07-22,Investimentos,Emissão de boletos,142263,Transferência,A Receber,2023-03-31,93616,Pago,938362,Compliance,151048,381780,91228,1267821,48 parcelas até 2023-06-11,18701,2023-08-01,7,4796
2023-03-28,48743,35493,Gestão de Investimentos,Sul,Sim,2023-06-11,Investimentos,Revisão de contratos,29655,Transferência,A Receber,2023-03-11,118282,Pago,590233,Atendimento ao Cliente,155512,217822,251133,783914,32 parcelas até 2023-10-01,16876,2023-06-28,1,3332
2023-03-29,38927,85559,Gestão de Investimentos,Nordeste,Não,2023-07-09,Taxas Bancárias,Revisão de contratos,63781,Transferência,A Pagar,2023-02-14,105577,Atrasado,770931,Compliance,89745,348518,231180,563410,46 parcelas até 2023-01-22,46607,2023-02-13,2,2596
2023-03-30,132601,56843,Planejamento Financeiro,Norte,Não,2023-04-03,Taxas Bancárias,Abertura de conta,171375,Transferência,A Receber,2023-05-15,132959,Pendente,422075,Atendimento ao Cliente,156437,452928,222157,160233,34 parcelas até 2023-03-28,37866,2023-02-07,5,3807
2023-03-31,75649,52192,Planejamento Financeiro,Norte,Não,2023-06-21,Empréstimos,Abertura de conta,122083,Transferência,A Receber,2023-12-01,18706,Pago,895178,Compliance,54899,487093,71095,1348315,44 parcelas até 2023-07-27,98966,2023-08-13,5,3621
2023-04-01,148807,11473,Gestão de Investimentos,Nordeste,Não,2023-02-14,Investimentos,Revisão de contratos,42061,Transferência,A Receber,2023-10-10,89497,Pendente,923407,Compliance,96939,479039,93423,901865,16 parcelas até 2023-09-29,49099,2023-10-23,7,3636
2023-04-02,81097,11226,Consultoria Financeira,Norte,Sim,2023-01-23,Consultoria,Revisão de contratos,104078,Boleto,A Pagar,2023-09-14,129361,Atrasado,142839,Compliance,93337,427498,243695,1306610,48 parcelas até 2023-06-01,71850,2023-10-09,5,2424
2023-04-03,94028,68429,Consultoria Financeira,Sul,Não,2023-06-26,Taxas Bancárias,Emissão de boletos,190236,Transferência,A Pagar,2023-11-04,142930,Pendente,759800,Atendimento ao Cliente,56393,491959,142190,1543513,47 parcelas até 2023-03-21,50074,2023-12-07,8,99
2023-04-04,64856,85120,Gestão de Investimentos,Sul,Sim,2023-11-19,Taxas Bancárias,Abertura de conta,184836,Cartão de Crédito,A Receber,2023-02-10,139156,Pendente,987843,Análise de Riscos,186542,460002,257971,552043,30 parcelas até 2023-04-01,72835,2023-07-12,1,2527
2023-04-05,100283,94281,Serviços Bancários,Sul,Sim,2023-03-26,Investimentos,Análise de portfólio,179851,Transferência,A Pagar,2023-08-13,116340,Pago,679533,Análise de Riscos,120554,458226,265897,226072,15 parcelas até 2023-12-01,28843,2023-05-31,1,4087
2023-04-06,45354,81525,Consultoria Financeira,Sul,Não,2023-05-20,Investimentos,Revisão de contratos,23909,Boleto,A Pagar,2023-09-07,66828,Atrasado,958997,Compliance,65111,212529,165890,187191,30 parcelas até 2023-02-05,44385,2023-07-06,3,755
2023-04-07,129165,39882,Planejamento Financeiro,Nordeste,Não,2023-01-23,Empréstimos,Abertura de conta,55440,Transferência,A Pagar,2023-11-17,42809,Atrasado,580717,Atendimento ao Cliente,109933,169026,157632,862801,12 parcelas até 2023-01-20,52847,2023-02-23,8,1875
2023-04-08,24881,94577,Serviços Bancários,Nordeste,Sim,2023-07-12,Taxas Bancárias,Abertura de conta,79953,PIX,A Pagar,2023-02-10,66103,Pago,868823,Consultoria,112316,450918,250568,1316270,40 parcelas até 2023-01-29,92017,2023-06-12,2,4331
