Data,Receitas,Despesas,Categoria,Região,Cliente_Chave,Data da Transação,Categoria da Transação,Descrição,Valor,Método de Pagamento,Contas a Pagar e a Receber,Data de Vencimento,Valor Contas,Status,Saldo Inicial,Centro de Custo/Departamento,Receitas Recorrentes,Previsão de Receita,Previsão de Despesas,Valor do Empréstimo,Parcelas e Vencimentos,Valor de Impostos,Datas de Vencimento Impostos,Estoque,Custos de Produção
2023-01-11,27487,20016,Operacional,Nordeste,Sim,2023-09-21,Serviço,Recebimento,36919,Cartão de Crédito,A Receber,2023-03-16,6596,Atrasado,36536,Operacional,34535,62300,28277,311408,21 parcelas até 2023-12-31,8158,2023-04-24,429,13315
2023-01-12,30004,19501,Serviços,Sul,Não,2023-08-26,Venda,Recebimento,10431,Transferência,A Pagar,2023-03-15,15191,Atrasado,57347,Comercial,48809,66478,15242,420229,23 parcelas até 2023-09-29,6895,2023-06-24,303,5745
2023-01-13,15862,26717,Operacional,Sudeste,Sim,2023-09-01,Venda,Pagamento,883,Dinheiro,A Receber,2023-06-21,15943,Atrasado,60811,Operacional,43237,96094,20373,208874,12 parcelas até 2023-04-07,6135,2023-02-18,247,13417
2023-01-14,48327,4207,Investimentos,Norte,Não,2023-12-16,Serviço,Recebimento,44576,Boleto,A Receber,2023-09-02,3917,Pendente,94147,Operacional,38364,29114,7389,187803,26 parcelas até 2023-10-17,9005,2023-10-01,162,4387
2023-01-15,16053,17074,Serviços,Sul,Não,2023-03-31,Serviço,Contrato,28864,Dinheiro,A Receber,2023-06-14,28663,Pendente,97216,Operacional,25362,58747,5015,355402,16 parcelas até 2023-09-03,15987,2023-10-12,289,12218
2023-01-16,23243,25881,Marketing,Sul,Não,2023-06-01,Venda,Pagamento,17025,Boleto,A Pagar,2023-04-14,11849,Pago,10127,Financeiro,13191,43681,36263,263340,14 parcelas até 2023-01-19,7489,2023-09-05,81,13687
2023-01-17,35222,9381,Serviços,Norte,Não,2023-02-15,Marketing,Taxa,16458,Transferência,A Pagar,2023-05-13,5170,Pendente,32345,Operacional,47227,42534,22841,152929,8 parcelas até 2023-08-29,10820,2023-11-12,394,7458
2023-01-18,43146,27069,Marketing,Nordeste,Não,2023-08-15,Compra,Taxa,27433,Cartão de Crédito,A Receber,2023-03-18,9843,Pago,36177,Comercial,42415,52297,37882,71252,6 parcelas até 2023-04-29,12872,2023-10-06,335,7418
2023-01-19,38836,21814,Operacional,Sul,Não,2023-02-27,Compra,Pagamento,35118,Dinheiro,A Pagar,2023-12-01,25121,Pendente,69468,Comercial,34473,60144,29517,112770,22 parcelas até 2023-07-23,7120,2023-02-26,472,4005
2023-01-20,48750,11186,Operacional,Nordeste,Não,2023-08-06,Serviço,Recebimento,43979,Dinheiro,A Pagar,2023-08-19,4569,Atrasado,85768,Financeiro,13972,42619,33448,59443,35 parcelas até 2023-02-24,4450,2023-11-20,311,7325
2023-01-21,5254,25326,Operacional,Sul,Sim,2023-12-10,Marketing,Pagamento,3114,Dinheiro,A Pagar,2023-05-17,14050,Atrasado,61163,Operacional,40948,32558,10661,412369,17 parcelas até 2023-06-09,9155,2023-07-11,98,1161
2023-01-22,33182,14869,Investimentos,Sul,Não,2023-06-04,Marketing,Contrato,36616,Dinheiro,A Pagar,2023-06-05,3373,Pago,48146,Financeiro,2486,27701,26328,252912,4 parcelas até 2023-02-12,2308,2023-04-22,345,3393
2023-01-23,24108,21666,Operacional,Sudeste,Não,2023-07-08,Venda,Pagamento,32154,Transferência,A Receber,2023-02-13,27928,Pago,29937,Comercial,46556,29692,15579,457319,22 parcelas até 2023-11-18,12264,2023-05-29,126,16096
2023-01-24,35021,21940,Operacional,Norte,Não,2023-02-27,Compra,Recebimento,11673,Boleto,A Pagar,2023-12-22,4027,Pendente,52675,Operacional,35536,93523,41462,20745,33 parcelas até 2023-02-02,16715,2023-07-19,148,16621
2023-01-25,25080,7492,Marketing,Sudeste,Não,2023-06-01,Serviço,Pagamento,36683,Dinheiro,A Pagar,2023-10-21,25711,Atrasado,49367,Financeiro,11420,92728,17507,202517,5 parcelas até 2023-11-26,6169,2023-01-31,329,13697
2023-01-26,46099,18414,Investimentos,Sul,Não,2023-11-16,Compra,Pagamento,17020,Cartão de Crédito,A Receber,2023-03-31,15476,Pago,66829,Operacional,8540,61581,14315,142103,30 parcelas até 2023-01-12,7993,2023-01-08,68,11201
2023-01-27,43784,28044,Operacional,Nordeste,Sim,2023-04-06,Serviço,Taxa,12106,Transferência,A Receber,2023-05-09,19126,Pago,19377,Comercial,20548,53403,11580,404620,5 parcelas até 2023-03-23,4356,2023-10-19,119,4095
2023-01-28,13039,27861,Operacional,Nordeste,Não,2023-01-06,Marketing,Pagamento,34970,Boleto,A Pagar,2023-10-09,4341,Pendente,31172,Comercial,26411,98682,20125,231313,22 parcelas até 2023-10-21,7518,2023-08-07,303,2724
2023-01-29,18585,12300,Serviços,Sul,Sim,2023-11-12,Marketing,Pagamento,44235,Dinheiro,A Receber,2023-10-11,9973,Pendente,40459,Comercial,41563,17281,28941,34278,18 parcelas até 2023-07-20,4724,2023-07-30,429,7816
2023-01-30,27850,28998,Investimentos,Norte,Sim,2023-01-24,Venda,Contrato,9053,Boleto,A Receber,2023-01-19,9639,Atrasado,40060,Financeiro,26624,77684,10161,442673,31 parcelas até 2023-03-18,13083,2023-12-26,138,15256
2023-01-31,17689,2697,Serviços,Nordeste,Sim,2023-01-05,Compra,Taxa,6254,Boleto,A Pagar,2023-05-09,17172,Pago,14701,Operacional,33480,59882,15663,496807,9 parcelas até 2023-08-14,18326,2023-01-10,441,17423
2023-02-01,43761,4479,Serviços,Nordeste,Não,2023-06-09,Serviço,Pagamento,6077,Transferência,A Pagar,2023-08-03,8117,Atrasado,28661,Financeiro,26985,84303,43293,308767,10 parcelas até 2023-11-11,2152,2023-07-03,249,7579
2023-02-02,41674,7552,Investimentos,Sudeste,Sim,2023-12-08,Compra,Recebimento,8895,Transferência,A Receber,2023-10-03,12888,Atrasado,54783,Operacional,4133,73263,12623,432912,13 parcelas até 2023-09-10,2012,2023-01-23,305,16687
2023-02-03,13060,2314,Serviços,Sudeste,Sim,2023-02-01,Compra,Recebimento,31945,Transferência,A Receber,2023-05-22,18319,Atrasado,77169,Financeiro,23906,20513,31304,22772,2 parcelas até 2023-10-22,2216,2023-07-04,145,17090
2023-02-04,24579,16077,Marketing,Sul,Sim,2023-03-27,Venda,Pagamento,24162,Cartão de Crédito,A Receber,2023-02-26,10214,Atrasado,5340,Comercial,49176,48178,25063,316158,2 parcelas até 2023-07-03,19056,2023-12-10,446,5593
2023-02-05,23963,12881,Investimentos,Nordeste,Não,2023-11-27,Serviço,Taxa,47140,Cartão de Crédito,A Receber,2023-07-16,18972,Pago,42602,Operacional,12210,44016,48519,169933,16 parcelas até 2023-01-22,8610,2023-12-03,274,1976
2023-02-06,28272,21930,Serviços,Sudeste,Não,2023-08-16,Marketing,Recebimento,43391,Cartão de Crédito,A Pagar,2023-10-18,21141,Pendente,98665,Financeiro,24983,50625,34126,317747,14 parcelas até 2023-09-13,5364,2023-10-04,190,10440
2023-02-07,42033,25445,Serviços,Sudeste,Sim,2023-09-05,Marketing,Contrato,41237,Boleto,A Receber,2023-04-19,20364,Pendente,26171,Comercial,30063,41015,27375,93431,9 parcelas até 2023-04-02,6529,2023-09-28,230,19558
2023-02-08,27333,4192,Investimentos,Norte,Não,2023-06-13,Serviço,Contrato,23930,Boleto,A Receber,2023-02-09,14991,Pago,84747,Comercial,47138,98365,19331,80494,3 parcelas até 2023-01-27,12471,2023-06-16,442,5444
2023-02-09,34386,4712,Operacional,Sudeste,Não,2023-12-15,Venda,Pagamento,17516,Boleto,A Pagar,2023-09-12,6314,Pendente,97129,Comercial,12709,53107,48703,258637,4 parcelas até 2023-10-25,8741,2023-01-10,165,3927
2023-02-10,41844,26235,Marketing,Norte,Não,2023-04-30,Compra,Pagamento,2780,Boleto,A Pagar,2023-10-28,29199,Pago,78151,Financeiro,44096,71905,13148,215535,26 parcelas até 2023-08-09,19372,2023-10-15,271,8619
2023-02-11,25944,14499,Marketing,Sudeste,Sim,2023-06-22,Venda,Pagamento,1149,Dinheiro,A Receber,2023-06-20,16346,Pago,40992,Comercial,8689,13622,48585,321498,24 parcelas até 2023-11-05,14614,2023-01-26,244,8487
2023-02-12,41448,26584,Marketing,Norte,Sim,2023-12-13,Venda,Taxa,21011,Cartão de Crédito,A Pagar,2023-04-24,27672,Pago,52875,Comercial,15498,69550,6587,76039,17 parcelas até 2023-08-11,14715,2023-10-01,488,13334
2023-02-13,31020,26645,Marketing,Norte,Não,2023-08-18,Serviço,Pagamento,49736,Dinheiro,A Receber,2023-04-30,4875,Pago,32268,Comercial,22595,58013,26278,172588,10 parcelas até 2023-06-05,7950,2023-11-22,309,10335
2023-02-14,33258,11141,Operacional,Norte,Sim,2023-10-13,Compra,Recebimento,30529,Transferência,A Receber,2023-10-13,6927,Atrasado,60611,Operacional,37625,64613,32035,435495,14 parcelas até 2023-01-28,14624,2023-10-19,380,18651
2023-02-15,23151,2526,Operacional,Nordeste,Não,2023-02-13,Compra,Recebimento,47662,Cartão de Crédito,A Receber,2023-12-19,17308,Pendente,24424,Comercial,16651,72989,6290,450549,14 parcelas até 2023-01-29,17563,2023-06-04,360,18787
2023-02-16,8797,23424,Operacional,Norte,Sim,2023-06-18,Compra,Pagamento,1816,Dinheiro,A Pagar,2023-01-23,20525,Pago,42749,Operacional,11372,89947,6806,160932,18 parcelas até 2023-06-09,11051,2023-12-15,450,10232
2023-02-17,23750,3959,Investimentos,Sul,Não,2023-01-04,Compra,Contrato,9117,Boleto,A Receber,2023-12-21,6602,Pendente,98304,Financeiro,40991,71444,46757,129656,36 parcelas até 2023-07-31,19034,2023-01-12,450,2075
2023-02-18,31618,21974,Investimentos,Nordeste,Não,2023-09-09,Venda,Taxa,47720,Boleto,A Receber,2023-02-19,3914,Atrasado,20706,Comercial,39474,42032,30046,171465,35 parcelas até 2023-10-26,12103,2023-08-09,140,5248
2023-02-19,20585,6862,Operacional,Sul,Não,2023-11-14,Marketing,Taxa,22891,Cartão de Crédito,A Pagar,2023-11-02,20371,Pendente,33092,Operacional,24720,94849,9722,213554,23 parcelas até 2023-06-28,17494,2023-10-05,295,7182
2023-02-20,30141,10157,Serviços,Norte,Não,2023-10-27,Serviço,Pagamento,21044,Cartão de Crédito,A Receber,2023-02-25,9192,Pago,12169,Comercial,11656,91800,15457,201210,27 parcelas até 2023-03-13,15705,2023-12-03,342,2342
2023-02-21,48496,9930,Investimentos,Nordeste,Não,2023-02-26,Compra,Contrato,28107,Transferência,A Receber,2023-02-08,7348,Pago,79902,Operacional,15806,24273,34957,475258,36 parcelas até 2023-01-11,9600,2023-01-15,126,9301
2023-02-22,19615,6779,Marketing,Sudeste,Sim,2023-10-28,Compra,Contrato,48416,Dinheiro,A Receber,2023-11-28,5831,Pago,46761,Operacional,31207,90946,33920,70047,15 parcelas até 2023-02-14,12240,2023-04-23,305,1688
2023-02-23,26285,20900,Investimentos,Nordeste,Sim,2023-08-15,Marketing,Contrato,35045,Cartão de Crédito,A Receber,2023-04-20,20612,Atrasado,97212,Financeiro,34783,32054,22243,130994,22 parcelas até 2023-02-17,17828,2023-12-23,444,1949
2023-02-24,14837,20322,Investimentos,Norte,Sim,2023-03-17,Marketing,Contrato,36485,Cartão de Crédito,A Receber,2023-09-01,17820,Pago,98082,Comercial,16381,81642,30827,118574,35 parcelas até 2023-05-12,2483,2023-07-13,407,3072
2023-02-25,26811,2351,Operacional,Sul,Não,2023-12-09,Compra,Recebimento,29425,Cartão de Crédito,A Receber,2023-10-20,19997,Atrasado,58322,Comercial,17758,64042,20052,292146,2 parcelas até 2023-07-16,19917,2023-09-28,150,17717
2023-02-26,34750,24372,Operacional,Nordeste,Não,2023-12-26,Compra,Pagamento,12776,Transferência,A Pagar,2023-03-15,14657,Pago,34411,Comercial,28053,94233,8255,234318,32 parcelas até 2023-08-24,11774,2023-04-14,248,13761
2023-02-27,24920,13813,Investimentos,Sul,Não,2023-09-21,Marketing,Taxa,4983,Cartão de Crédito,A Pagar,2023-01-07,12481,Pendente,89059,Operacional,19893,49958,26107,246341,6 parcelas até 2023-01-16,14670,2023-06-10,399,9802
2023-02-28,17121,12286,Serviços,Sudeste,Não,2023-12-19,Compra,Contrato,6765,Cartão de Crédito,A Pagar,2023-04-28,29350,Pago,10589,Comercial,35852,71627,12200,140826,11 parcelas até 2023-12-31,1435,2023-08-04,479,5241
2023-03-01,10202,19870,Operacional,Sudeste,Sim,2023-10-31,Venda,Taxa,36047,Boleto,A Pagar,2023-04-17,12906,Pendente,37241,Comercial,37015,81611,18997,441572,28 parcelas até 2023-07-13,6221,2023-07-14,421,5297
2023-03-02,21457,26526,Marketing,Sudeste,Não,2023-05-13,Marketing,Taxa,42966,Cartão de Crédito,A Pagar,2023-04-11,19833,Pago,90485,Comercial,16236,16253,30702,193583,29 parcelas até 2023-01-10,14627,2023-12-22,68,1799
2023-03-03,17441,28662,Investimentos,Sudeste,Não,2023-05-10,Venda,Pagamento,45948,Cartão de Crédito,A Pagar,2023-06-13,17860,Pendente,96216,Operacional,29794,37280,31044,258820,4 parcelas até 2023-05-02,1297,2023-04-05,59,7864
2023-03-04,38648,9285,Operacional,Sudeste,Não,2023-08-23,Serviço,Taxa,32306,Boleto,A Receber,2023-05-18,17720,Pendente,51623,Comercial,9272,34719,16337,451095,12 parcelas até 2023-05-22,8010,2023-04-02,330,16588
2023-03-05,41520,2438,Operacional,Norte,Não,2023-06-20,Serviço,Taxa,49102,Dinheiro,A Pagar,2023-06-09,27568,Pago,72775,Comercial,7537,43120,24590,285300,16 parcelas até 2023-07-24,2224,2023-08-19,308,18583
2023-03-06,20785,10526,Marketing,Sul,Não,2023-11-08,Compra,Recebimento,29073,Dinheiro,A Receber,2023-12-07,18037,Pago,62827,Operacional,2434,75579,24045,422385,6 parcelas até 2023-12-06,15269,2023-05-05,380,6360
2023-03-07,34387,23564,Investimentos,Sul,Sim,2023-04-23,Serviço,Pagamento,39142,Transferência,A Receber,2023-08-13,21849,Pago,10728,Operacional,22805,33871,25533,355090,12 parcelas até 2023-03-30,17730,2023-09-04,131,11233
2023-03-08,28238,18841,Operacional,Nordeste,Não,2023-07-29,Venda,Pagamento,15375,Boleto,A Receber,2023-02-15,21140,Atrasado,60388,Operacional,3519,73590,40245,385939,3 parcelas até 2023-10-01,18428,2023-07-14,324,19046
2023-03-09,36346,9776,Marketing,Sul,Não,2023-10-19,Compra,Taxa,12452,Cartão de Crédito,A Receber,2023-08-24,5414,Pendente,77927,Financeiro,35894,25313,42580,236364,5 parcelas até 2023-03-07,6591,2023-10-21,160,6785
2023-03-10,38760,15089,Marketing,Norte,Não,2023-04-01,Marketing,Recebimento,27860,Boleto,A Receber,2023-09-05,8819,Pago,61681,Financeiro,9540,84822,42135,113270,1 parcelas até 2023-05-16,11219,2023-01-09,145,12294
2023-03-11,35932,29290,Marketing,Norte,Não,2023-08-08,Venda,Recebimento,14955,Transferência,A Pagar,2023-03-24,18727,Atrasado,16303,Financeiro,23546,26210,21608,338168,25 parcelas até 2023-05-21,15954,2023-10-05,449,6355
2023-03-12,35888,6756,Investimentos,Norte,Sim,2023-07-04,Venda,Contrato,20413,Boleto,A Receber,2023-08-25,18019,Atrasado,90698,Operacional,23172,13549,26224,47226,27 parcelas até 2023-12-03,10273,2023-05-22,181,17726
2023-03-13,8899,26106,Investimentos,Sudeste,Não,2023-05-01,Serviço,Recebimento,31873,Dinheiro,A Pagar,2023-06-11,8103,Pendente,73023,Operacional,41884,73939,31682,457860,35 parcelas até 2023-10-29,5085,2023-04-16,97,13884
2023-03-14,42296,11196,Serviços,Sudeste,Não,2023-06-08,Venda,Taxa,47890,Boleto,A Receber,2023-04-08,29158,Atrasado,38998,Operacional,44955,71909,40484,439548,7 parcelas até 2023-06-01,5521,2023-07-01,460,8544
2023-03-15,48892,13759,Operacional,Sudeste,Não,2023-10-23,Marketing,Taxa,1694,Transferência,A Receber,2023-05-13,27264,Atrasado,79476,Comercial,27347,92330,28699,120522,25 parcelas até 2023-01-06,16447,2023-07-20,274,17385
2023-03-16,28127,19574,Investimentos,Sudeste,Sim,2023-08-18,Serviço,Recebimento,5661,Dinheiro,A Pagar,2023-10-08,13679,Atrasado,85365,Comercial,30302,82552,44860,468368,12 parcelas até 2023-06-25,9857,2023-05-11,159,15480
2023-03-17,28485,6310,Investimentos,Norte,Sim,2023-06-11,Compra,Recebimento,48402,Dinheiro,A Receber,2023-08-07,6018,Pendente,91677,Comercial,20132,80539,47299,17112,13 parcelas até 2023-05-21,6295,2023-12-04,79,17140
2023-03-18,8112,5033,Serviços,Nordeste,Não,2023-09-14,Marketing,Pagamento,20514,Boleto,A Pagar,2023-07-02,12652,Atrasado,63932,Comercial,19161,99358,49129,109611,25 parcelas até 2023-06-16,12127,2023-09-20,334,16536
2023-03-19,9851,14439,Operacional,Norte,Sim,2023-11-06,Marketing,Recebimento,2453,Dinheiro,A Pagar,2023-06-26,26980,Pendente,86857,Financeiro,12230,49740,30152,400798,15 parcelas até 2023-01-23,3567,2023-04-02,438,8340
2023-03-20,23907,7348,Serviços,Nordeste,Sim,2023-06-19,Marketing,Recebimento,18688,Boleto,A Receber,2023-11-09,8077,Atrasado,84783,Financeiro,10574,64980,16731,81946,19 parcelas até 2023-10-13,12020,2023-03-08,477,12482
2023-03-21,11783,28679,Serviços,Sul,Não,2023-01-10,Marketing,Taxa,24348,Dinheiro,A Receber,2023-09-15,5813,Pago,83832,Operacional,26198,94156,44975,358036,9 parcelas até 2023-06-21,2586,2023-10-05,130,7283
2023-03-22,8761,15257,Marketing,Nordeste,Sim,2023-02-19,Serviço,Contrato,5165,Dinheiro,A Receber,2023-03-14,28051,Pago,78056,Operacional,10898,55109,48138,499090,28 parcelas até 2023-02-10,13067,2023-05-27,400,1364
2023-03-23,12496,4879,Investimentos,Sudeste,Sim,2023-08-27,Marketing,Pagamento,29008,Dinheiro,A Pagar,2023-09-24,14374,Pendente,20117,Operacional,17293,58785,5355,344233,33 parcelas até 2023-11-10,7855,2023-05-10,146,6168
2023-03-24,44496,29656,Investimentos,Norte,Sim,2023-04-09,Serviço,Contrato,12496,Cartão de Crédito,A Pagar,2023-09-13,11569,Atrasado,47494,Operacional,32444,62846,48275,232719,23 parcelas até 2023-02-03,10228,2023-10-07,360,17362
2023-03-25,11454,19150,Marketing,Nordeste,Sim,2023-11-23,Marketing,Pagamento,24922,Dinheiro,A Receber,2023-10-13,6038,Atrasado,70056,Operacional,27077,78214,32652,378099,18 parcelas até 2023-03-16,12146,2023-12-10,212,10485
2023-03-26,26415,25420,Serviços,Norte,Não,2023-11-11,Venda,Taxa,16910,Transferência,A Pagar,2023-05-30,13530,Atrasado,69331,Operacional,16113,32178,11469,108529,13 parcelas até 2023-03-02,6633,2023-08-02,131,3076
2023-03-27,21010,25354,Serviços,Norte,Não,2023-09-07,Serviço,Pagamento,33393,Boleto,A Receber,2023-04-06,9368,Pendente,40814,Comercial,26112,79362,45774,232093,33 parcelas até 2023-09-20,8445,2023-03-22,297,3490
2023-03-28,42026,22409,Investimentos,Nordeste,Não,2023-10-27,Marketing,Taxa,27763,Boleto,A Receber,2023-06-15,16653,Atrasado,96146,Operacional,38388,35236,19061,404452,35 parcelas até 2023-10-30,11442,2023-01-05,224,9611
2023-03-29,32152,2420,Marketing,Nordeste,Não,2023-08-17,Marketing,Pagamento,20665,Transferência,A Receber,2023-08-11,23843,Pago,11650,Financeiro,33821,25927,13729,68293,15 parcelas até 2023-07-09,6188,2023-01-02,484,10820
2023-03-30,38740,2006,Serviços,Sul,Não,2023-04-16,Serviço,Pagamento,42588,Transferência,A Receber,2023-04-25,29996,Atrasado,88375,Financeiro,42722,40775,35493,448185,7 parcelas até 2023-07-02,6431,2023-12-23,134,7610
2023-03-31,26390,4813,Operacional,Nordeste,Sim,2023-08-27,Venda,Taxa,44526,Transferência,A Receber,2023-04-06,1368,Atrasado,24047,Operacional,7091,33354,28210,321056,24 parcelas até 2023-08-28,12336,2023-06-24,480,18375
2023-04-01,48554,4261,Serviços,Sudeste,Não,2023-02-27,Compra,Contrato,10616,Cartão de Crédito,A Pagar,2023-05-24,28362,Pago,67535,Operacional,25833,70378,19321,291929,6 parcelas até 2023-12-05,9726,2023-02-12,365,5137
2023-04-02,6937,10853,Marketing,Sudeste,Sim,2023-03-18,Compra,Taxa,14701,Boleto,A Receber,2023-08-21,13281,Pago,48621,Financeiro,32413,39505,46421,376645,27 parcelas até 2023-03-27,4813,2023-09-16,137,2683
2023-04-03,34004,11560,Investimentos,Nordeste,Sim,2023-11-29,Marketing,Pagamento,38940,Dinheiro,A Pagar,2023-02-04,21008,Pago,69031,Operacional,18197,15732,22016,83197,12 parcelas até 2023-01-31,17365,2023-07-12,338,10871
2023-04-04,29498,14671,Marketing,Sul,Não,2023-04-14,Marketing,Recebimento,46431,Dinheiro,A Pagar,2023-05-20,3680,Pago,15509,Comercial,2609,62926,17286,336872,29 parcelas até 2023-08-31,9517,2023-07-06,128,7127
2023-04-05,11004,4979,Investimentos,Sudeste,Não,2023-06-10,Marketing,Taxa,4199,Cartão de Crédito,A Pagar,2023-03-31,24736,Atrasado,48929,Operacional,9356,67897,5482,496805,32 parcelas até 2023-09-25,4133,2023-11-17,126,4327
2023-04-06,33487,22931,Investimentos,Sul,Não,2023-12-17,Venda,Recebimento,17854,Cartão de Crédito,A Pagar,2023-06-20,14709,Atrasado,26564,Comercial,1489,80815,25559,412246,4 parcelas até 2023-11-28,12456,2023-05-30,269,19054
2023-04-07,22192,18187,Operacional,Nordeste,Não,2023-05-15,Compra,Taxa,49921,Transferência,A Receber,2023-02-17,1353,Atrasado,91090,Operacional,5926,14781,23821,277347,5 parcelas até 2023-09-08,18496,2023-06-18,412,4847
2023-04-08,17459,22879,Marketing,Sul,Não,2023-07-12,Marketing,Pagamento,14780,Boleto,A Pagar,2023-07-19,20457,Atrasado,16831,Operacional,36103,36840,11987,21633,11 parcelas até 2023-07-22,14168,2023-01-16,188,1875
2023-04-09,9731,17660,Serviços,Sul,Sim,2023-06-08,Marketing,Recebimento,28575,Transferência,A Pagar,2023-12-13,19800,Pendente,97174,Operacional,26452,10814,28680,380178,24 parcelas até 2023-08-23,14226,2023-01-05,292,16821
2023-04-10,40633,18568,Marketing,Norte,Não,2023-12-26,Compra,Contrato,44646,Dinheiro,A Receber,2023-07-16,20126,Atrasado,28865,Comercial,19035,33725,22374,360516,25 parcelas até 2023-03-25,8727,2023-02-06,176,14551
